date,events,zip_code
3/16/15,,94063
3/17/15,,94063
3/18/15,,94063
3/19/15,,94063
3/20/15,,94063
3/21/15,,94063
3/22/15,Rain,94063
3/23/15,Rain,94063
3/24/15,,94063
3/25/15,,94063
3/26/15,,94063
3/27/15,,94063
3/28/15,,94063
3/29/15,,94063
3/30/15,,94063
3/31/15,,94063
4/1/15,,94063
4/2/15,,94063
4/3/15,,94063
4/4/15,,94063
4/5/15,,94063
4/6/15,,94063
4/7/15,Rain,94063
4/8/15,,94063
4/9/15,,94063
4/10/15,,94063
4/11/15,,94063
4/12/15,,94063
4/13/15,,94063
4/14/15,,94063
4/15/15,,94063
4/16/15,,94063
4/17/15,,94063
4/18/15,,94063
4/19/15,,94063
4/20/15,,94063
4/21/15,,94063
4/22/15,,94063
4/23/15,,94063
4/24/15,Rain,94063
4/25/15,Rain,94063
4/26/15,,94063
4/27/15,,94063
4/28/15,,94063
4/29/15,,94063
4/30/15,,94063
5/1/15,,94063
5/2/15,,94063
5/3/15,,94063
5/4/15,,94063
5/5/15,,94063
5/6/15,,94063
5/7/15,,94063
5/8/15,,94063
5/9/15,,94063
5/10/15,,94063
5/11/15,,94063
5/12/15,,94063
5/13/15,,94063
5/14/15,Rain,94063
5/15/15,,94063
5/16/15,,94063
5/17/15,,94063
5/18/15,,94063
5/19/15,,94063
5/20/15,,94063
5/21/15,,94063
5/22/15,,94063
5/23/15,,94063
5/24/15,,94063
5/25/15,,94063
5/26/15,,94063
5/27/15,,94063
5/28/15,,94063
5/29/15,,94063
5/30/15,,94063
5/31/15,,94063
6/1/15,,94063
6/2/15,,94063
6/3/15,,94063
6/4/15,,94063
6/5/15,,94063
6/6/15,,94063
6/7/15,,94063
6/8/15,,94063
6/9/15,,94063
6/10/15,Rain,94063
6/11/15,,94063
6/12/15,,94063
6/13/15,,94063
6/14/15,,94063
6/15/15,,94063
6/16/15,,94063
6/17/15,,94063
6/18/15,,94063
6/19/15,,94063
6/20/15,,94063
6/21/15,,94063
6/22/15,,94063
6/23/15,,94063
6/24/15,,94063
6/25/15,,94063
6/26/15,,94063
6/27/15,,94063
6/28/15,,94063
6/29/15,,94063
6/30/15,,94063
7/1/15,,94063
7/2/15,,94063
7/3/15,,94063
7/4/15,,94063
7/5/15,,94063
7/6/15,,94063
7/7/15,,94063
7/8/15,,94063
7/9/15,,94063
7/10/15,Rain,94063
7/11/15,,94063
7/12/15,,94063
7/13/15,,94063
7/14/15,,94063
7/15/15,,94063
7/16/15,,94063
7/17/15,,94063
7/18/15,,94063
7/19/15,,94063
7/20/15,,94063
7/21/15,,94063
7/22/15,,94063
7/23/15,,94063
7/24/15,,94063
7/25/15,,94063
7/26/15,,94063
7/27/15,,94063
7/28/15,,94063
7/29/15,,94063
7/30/15,,94063
7/31/15,,94063
8/1/15,,94063
8/2/15,,94063
8/3/15,,94063
8/4/15,,94063
8/5/15,,94063
8/6/15,,94063
8/7/15,,94063
8/8/15,,94063
8/9/15,,94063
8/10/15,,94063
8/11/15,,94063
8/12/15,,94063
8/13/15,,94063
8/14/15,,94063
8/15/15,,94063
8/16/15,,94063
8/17/15,,94063
8/18/15,,94063
8/19/15,,94063
8/20/15,,94063
8/21/15,,94063
8/22/15,,94063
8/23/15,,94063
8/24/15,,94063
8/25/15,,94063
8/26/15,,94063
8/27/15,,94063
8/28/15,,94063
8/29/15,Rain,94063
8/30/15,,94063
8/31/15,,94063
1/1/15,,94301
1/2/15,,94301
1/3/15,,94301
1/4/15,,94301
1/5/15,,94301
1/6/15,,94301
1/7/15,,94301
1/8/15,,94301
1/9/15,,94301
1/10/15,,94301
1/11/15,Fog,94301
1/12/15,,94301
1/13/15,Fog,94301
1/14/15,,94301
1/15/15,,94301
1/16/15,,94301
1/17/15,,94301
1/18/15,Fog,94301
1/19/15,Fog,94301
1/20/15,,94301
1/21/15,,94301
1/22/15,,94301
1/23/15,,94301
1/24/15,,94301
1/25/15,,94301
1/26/15,,94301
1/27/15,,94301
1/28/15,,94301
1/29/15,Fog,94301
1/30/15,Fog,94301
1/31/15,,94301
2/1/15,,94301
2/2/15,,94301
2/3/15,,94301
2/4/15,,94301
2/5/15,,94301
2/6/15,Rain,94301
2/7/15,Rain,94301
